rank,precision,recall
1,0.9933530280649926,0.006916399245417831
2,0.9933530280649926,0.013832798490835662
3,0.9933530280649926,0.020749197736253524
4,0.9933530280649926,0.027665596981671325
5,0.9933530280649926,0.03458199622708912
6,0.9933530280649926,0.04149839547250705
7,0.9931420130829289,0.048168610572183836
8,0.9928914327917282,0.054733318180828765
9,0.992532414245856,0.06111338768016805
10,0.9920974889217135,0.06732933441567972
11,0.9915402175372635,0.07332371542002471
12,0.9908911866075826,0.07911667303239987
13,0.9903420065901598,0.08490963064477455
14,0.9897657733699091,0.09058896480526936
15,0.9892663712456918,0.09626829896576351
16,0.9886447562776958,0.10175068580966563
17,0.9880962724824053,0.10723307265356721
18,0.9874446085672076,0.11254168245341682
19,0.9868615408536114,0.1178502922532657
20,0.9861521418020679,0.1229645461485825
21,0.9855103045649576,0.12807880004389902
22,0.9849268161675838,0.13319305393921646
23,0.9842335110140648,0.13813945500789093
24,0.9835979812900053,0.1430858560765673
25,0.9830132939438704,0.14803225714524265
26,0.982303147369618,0.15280140562898364
27,0.9816456042453086,0.15757055411272505
28,0.981035028487022,0.1623397025964675
29,0.9802882901237707,0.16692421297090287
30,0.9795913343180699,0.17150872334533884
31,0.9789393434030587,0.1760932337197747
32,0.9783281019202363,0.18067774409421158
33,0.9775972427375674,0.18518312385037275
34,0.976909375271527,0.18968850360653533
35,0.976260814517831,0.19419388336269677
36,0.9756482849171184,0.19869926311886038
37,0.9748892171344146,0.20302000476571594
38,0.9741701002876473,0.2073407464125721
39,0.973487861227891,0.2116614880594276
40,0.9728212703101923,0.21587672221525273
41,0.9721871960226255,0.22009195637107723
42,0.9714074699303659,0.22412705578611478
43,0.9706640101679782,0.22816215520115493
44,0.9699543440311547,0.23219725461619298
45,0.9692762186115214,0.23623235403123002
46,0.9686275769057855,0.2402674534462679
47,0.9678179703950478,0.2441098870081196
48,0.9670420974889209,0.2479523205699694
49,0.9662978928646797,0.25179475413181746
50,0.9655834564254074,0.25563718769366883
51,0.9648970371014,0.25947962125551666
52,0.9642370185206208,0.26332205481736737
53,0.9636019063013846,0.26716448837921525
54,0.9628398708900954,0.2708448672236755
55,0.9621055458573925,0.2745252460681347
56,0.9613974467187194,0.27820562491259554
57,0.9607141931638554,0.28188600375705397
58,0.9600545000764016,0.2855663826015134
59,0.9594171694664885,0.28924676144597217
60,0.9588010832102418,0.2929271402904319
61,0.9580356926653257,0.29642436406260864
62,0.9572949921379902,0.29992158783478345
63,0.9565778059131094,0.3034188116069591
64,0.9558830317577548,0.3069160353791377
65,0.9552096352687198,0.3104132591513137
66,0.9545566447338979,0.3139104829234877
67,0.9539231464538442,0.31740770669566176
68,0.9533082804761498,0.32090493046784124
69,0.9525399781645364,0.32422837719596515
70,0.9517936273475397,0.32755182392408694
71,0.9510683004972246,0.33087527065221267
72,0.9503631216149648,0.33419871738033713
73,0.9496772627020922,0.33752216410845975
74,0.9490099405165887,0.34084561083658277
75,0.9483604135893641,0.3441690575647057
76,0.9477279794760195,0.3474925042928299
77,0.9471119722227539,0.3508159510209527
78,0.9463413248494498,0.35396232223965146
79,0.9455901875362284,0.3571086934583525
80,0.9448578286558355,0.3602550646770521
81,0.9441435527107597,0.3634014358957518
82,0.943446698130202,0.3665478071144507
83,0.9427666352262821,0.36969417833315
84,0.942102764296264,0.3728405495518489
85,0.9414545138587198,0.37598692077054896
86,0.9408213390127448,0.37913329198925105
87,0.9402027199103552,0.38227966320795154
88,0.9394135222237113,0.385239274040225
89,0.9386420593165472,0.3881988848724984
90,0.937887740029546,0.39115849570477296
91,0.9371499991884025,0.3941181065370488
92,0.9364282961916371,0.3970777173693221
93,0.9357221136894278,0.40003732820160137
94,0.9350309563468343,0.40299693903387773
95,0.9343543496851464,0.4059565498661517
96,0.933691838995567,0.40891616069842696
97,0.9330429883202105,0.41187577153070226
98,0.9324073794953714,0.41483538236297574
99,0.9315981081121403,0.4176065869612638
100,0.9308050221565709,0.4203777915595574
101,0.9300276408733967,0.4231489961578456
102,0.9292655023604707,0.42592020075613507
103,0.9285181626536232,0.4286914053544233
104,0.9277851948642194,0.431462609952716
105,0.9270661883660414,0.43423381455100335
106,0.9263607480282043,0.4370050191492921
107,0.9256684934910728,0.439776223747584
108,0.9249890584824129,0.44254742834587424
109,0.9243220901711547,0.44531863294416446
110,0.9236672485564652,0.44808983754245185
111,0.9230242058897921,0.45086104214074346
112,0.9223926461278747,0.45363224673903507
113,0.9215892602711072,0.45621881322801766
114,0.9207999689030565,0.4588053797170011
115,0.9200244043414021,0.46139194620598795
116,0.9192622115825414,0.4639785126949703
117,0.9185130477597246,0.4665650791839532
118,0.9177765816288224,0.46915164567293555
119,0.91705249307995,0.47173821216192086
120,0.9163404726735576,0.4743247786509061
121,0.91564022119951,0.4769113451398899
122,0.9149514492578193,0.47949791162887456
123,0.9142738768598925,0.48208447811785754
124,0.9136072330490291,0.48467104460684096
125,0.9129512555391429,0.4872576110958254
126,0.9123056903706837,0.4898441775848081
127,0.9114841996301424,0.4922431752008476
128,0.9106755446824224,0.4946421728168903
129,0.9098794270207143,0.4970411704329277
130,0.90909555732303,0.49944016804896635
131,0.9083292929065065,0.5018443303673605
